"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 share"
"04/01/2019 11:58:48:415 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"7","1.5","true","-0.3","0.69","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.5","true","-0.3","0.69","5.2","1","0","180","0","24229.661799767997","33034.375","57264.036799768","829442","3.875"
"7","1.5","true","-0.3","0.69","5.2","2","0","180","0","23198.801799767996","31248","54446.801799768","706433.926400464","3.875"
"7","1.5","true","-0.3","0.69","5.2","3","0","180","0","21684.251799767997","33154.5","54838.751799768","577580.322800928","3.875"
"7","1.5","true","-0.3","0.69","5.2","4","0","180","0","13990.061799767998","28481.25","42471.311799767995","471011.81920139195","3.875"
"7","1.5","true","-0.3","0.69","5.2","5","0.2","180","0","4016.549999156112","20853.7","24870.249999156113","435583.1956018559","3.875"
"7","1.5","true","-0.3","0.69","5.2","6","0","180","0","476.09999999999997","23482.5","23958.6","624464.6956035438","3.875"
"7","1.5","true","-0.3","0.69","5.2","7","0","180","0","491.96999999999997","23424.375","23916.345","902403.4956035438","3.875"
"7","1.5","true","-0.3","0.69","5.2","8","0","180","0","491.96999999999997","23664.625","24156.595","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","9","0","180","0","476.09999999999997","23482.5","23958.6","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","10","0","180","0","2551.7219677087796","26547.625","29099.346967708778","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","11","0","180","0","5035.30994874696","28248.75","33284.05994874696","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","12","0","180","0","15491.869060555648","32193.5","47685.36906055565","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","13","0","180","0","22871.6487606927","33298.65","56170.298760692705","917897.8636495208","3.906"
"7","1.5","true","-0.3","0.69","5.2","14","0","180","0","22436.829351180117","31497.984","53934.81335118011","780141.2661281354","3.906"
"7","1.5","true","-0.3","0.69","5.2","15","0","180","0","21112.371054875457","33419.736000000004","54532.107054875465","667060.639425775","3.906"
"7","1.5","true","-0.3","0.69","5.2","16","0","180","0","13704.70336709316","28709.100000000002","42413.80336709316","605653.4253160241","3.906"
"7","1.5","true","-0.3","0.69","5.2","17","0","180","0","3307.3240653155394","26275.662","29582.98606531554","614474.8185818377","3.906"
"7","1.5","true","-0.3","0.69","5.2","18","0","180","0","476.09999999999997","23670.36","24146.46","719083.8464512066","3.906"
"7","1.5","true","-0.3","0.69","5.2","19","0","180","0","470.58","23611.77","24082.350000000002","842375.9264512067","3.906"
"7","1.5","true","-0.3","0.69","5.2","20","0","180","0","470.58","23853.942","24324.522","908171.2264512067","3.906"
"7","1.5","true","-0.3","0.69","5.2","21","0","180","0","476.09999999999997","23670.36","24146.46","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","22","0","180","0","5776.77539850195","26760.006","32536.781398501953","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","23","0","180","0","11012.0755796694","28474.74","39486.815579669405","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","24","0","180","0","24246.22654436253","32451.048000000003","56697.27454436253","919119.068494864","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","25","0","180","0","30883.661404480856","33565.0392","64448.70060448085","796143.5194061389","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","26","0","180","0","29579.00132694078","31749.967872","61328.96919894078","652372.1181971773","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","27","0","180","0","27521.74442282106","33687.093888","61208.83831082106","516491.1797992957","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","28","0.3","180","0","11980.264279913787","20257.14096","32237.405239913787","399465.50317765365","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","29","0.3","180","0","4605.971897953314","18540.107107199998","23146.07900515331","379890.6926978261","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","30","0","180","0","683.0999999999999","23859.72288","24542.82288","500093.5346875194","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","31","0","180","0","684.4799999999999","23800.66416","24485.14416","699281.8889275194","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","32","0","180","0","684.4799999999999","24044.773536","24729.253536","837990.6006075194","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","33","0","180","0","683.0999999999999","23859.72288","24542.82288","921000","3.9372480000000003"
"2","1.5","true","-0.3","0.59","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.5","true","-0.3","0.69","5.2","34","0","180","0","7775.67670389786","26974.086048","34749.76275189786","921000","3.9372480000000003"
"4","1.5","true","-0.3","0.63","5.2","0","0","0","0","0","0","0","0","3.875"
"5","1.5","true","-0.3","0.65","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.5","true","-0.3","0.69","5.2","35","0","180","0","10275.39085079055","28702.537920000002","38977.92877079055","921000","3.9372480000000003"
"7","1.5","true","-0.3","0.69","5.2","36","0","180","0","20718.77676343311","32710.656384","53429.43314743311","880212.0647301424","3.9687459840000003"
"3","1.5","true","-0.3","0.61","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.5","true","-0.3","0.69","5.2","37","0","180","0","26042.39735670948","33833.559513600005","59875.956870309485","769249.1984352762","3.9687459840000003"
"7","1.5","true","-0.3","0.69","5.2","38","0","180","0","25655.761126178877","33146.966458368006","58802.72758454688","627280.2846946572","3.9687459840000003"
"7","1.5","true","-0.3","0.69","5.2","39","0","180","0","23286.3047142714","33956.590639104004","57242.8953533754","485586.8295255634","3.9687459840000003"
"7","1.5","true","-0.3","0.69","5.2","40","0.3","180","0","10385.902891959502","20419.19808768","30805.1009796395","388972.0388188126","3.9687459840000003"
"7","1.5","true","-0.3","0.69","5.2","41","0.3","180","0","4412.137202619341","18688.427964057602","23100.565166676945","384610.83685953356","3.9687459840000003"
"6","1.5","true","-0.3","0.67","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.5","true","-0.3","0.69","5.2","42","0.2","180","0","430.55999999999995","19240.480530432","19671.040530432","433739.7065261797","3.9687459840000003"
"7","1.5","true","-0.3","0.69","5.2","43","0","180","0","534.75","23991.06947328","24525.81947328","634929.6254653157","3.9687459840000003"
"5","1.5","true","-0.3","0.65","5.2","1","0","180","0","23126.061799768","33034.375","56160.436799767995","829442","3.875"
"7","1.5","true","-0.3","0.69","5.2","44","0","180","0","534.75","24237.131724288003","24771.881724288003","921000","3.9687459840000003"
"2","1.5","true","-0.3","0.59","5.2","1","0","180","0","21470.661799767997","33034.375","54505.036799768","829442","3.875"
"7","1.5","true","-0.3","0.69","5.2","45","0","180","0","538.1999999999999","24050.60066304","24588.80066304","921000","3.9687459840000003"
"4","1.5","true","-0.3","0.63","5.2","1","0","180","0","22574.261799768","33034.375","55608.636799768","829442","3.875"
"5","1.5","true","-0.3","0.65","5.2","2","0","180","0","22154.961799768","31248","53402.961799768","708641.126400464","3.875"
"7","1.5","true","-0.3","0.69","5.2","46","0","180","0","2785.4749209009897","27189.878736384002","29975.35365728499","921000","3.9687459840000003"
"2","1.5","true","-0.3","0.59","5.2","2","0","180","0","20589.201799767998","31248","51837.201799767994","711951.926400464","3.875"
"7","1.5","true","-0.3","0.69","5.2","47","0","180","0","8180.00072065689","28932.158223360002","37112.15894401689","921000","3.9687459840000003"
"3","1.5","true","-0.3","0.61","5.2","1","0","180","0","22022.461799767996","33034.375","55056.836799767996","829442","3.875"
"7","1.5","true","-0.3","0.69","5.2","48","0","180","0","21796.752174320038","32972.341635072","54769.09380939204","921000","4.000495951872001"
"2","1.5","true","-0.3","0.59","5.2","3","0","180","0","19294.151799768","33154.5","52448.651799768","588317.522800928","3.875"
"7","1.5","true","-0.3","0.69","5.2","49","0","180","0","27681.10863882096","34104.22798970881","61785.33662852977","921000","4.000495951872001"
"4","1.5","true","-0.3","0.63","5.2","2","0","180","0","21633.041799767998","31248","52881.041799768","709744.7264004641","3.875"
"6","1.5","true","-0.3","0.67","5.2","1","0","180","0","23677.861799768","33034.375","56712.236799768","829442","3.875"
"3","1.5","true","-0.3","0.61","5.2","2","0","180","0","21111.121799768","31248","52359.121799768","710848.3264004639","3.875"
"7","1.5","true","-0.3","0.69","5.2","50","0","180","0","26526.603626010117","32259.999355895812","58786.60298190593","899755.7356656524","4.000495951872001"
"5","1.5","true","-0.3","0.65","5.2","3","0","180","0","20728.211799768","33154.5","53882.711799768","581875.2028009279","3.875"
"7","1.5","true","-0.3","0.69","5.2","51","0","180","0","24786.099779000637","34228.24336421684","59014.34314321748","776727.5297018406","4.000495951872001"
"3","1.5","true","-0.3","0.61","5.2","3","0","180","0","19772.171799768","33154.5","52926.671799767995","586170.082800928","3.875"
