"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/07/2019 01:43:19:093 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"16","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"2","0.6","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"13","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","1","0","180","0","29138.036239719993","33034.375","62172.41123971999","829442","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"7","0.6","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","4","0","180","0","9949.847247943999","28481.25","38431.097247943995","467141.12504112","3.875"
"8","0.6","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2300.7428429460956","20853.7","23154.442842946097","439792.930545232","3.875"
"18","0.61","true","-0.51","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
