"","run","Irrigation.Efficiency","Scenario.1","water.price.elasticity","share.other.crops.irrigation","water.price","Kc","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"1",1,0.6,TRUE,-0.51,0.57,5.2,0.2,0,0,0,0,0,0,0,0,3.875
"2",1,0.6,TRUE,-0.51,0.57,5.2,0.2,1,0,180,0,28918.1717112,33034.375,61952.5467112,829442,3.875
"3",1,0.6,TRUE,-0.51,0.57,5.2,0.2,2,0,180,0,22789.84302672,31248,54037.84302672,697056.9065776,3.875
"4",1,0.6,TRUE,-0.51,0.57,5.2,0.2,3,0,180,0,18900.31868448,33154.5,52054.81868448,569021.22052416,3.875
"5",1,0.6,TRUE,-0.51,0.57,5.2,0.2,4,0,180,0,9905.87434224,28481.25,38387.12434224,468020.5831552,3.875
"6",1,0.6,TRUE,-0.51,0.57,5.2,0.2,5,0.2,180,0,2274.14915699616,20853.7,23127.8491569962,440760.33447072,3.875
"7",1,0.6,TRUE,-0.51,0.57,5.2,0.2,6,0,180,0,393.3,23482.5,23875.8,633126.636156728,3.875
"8",1,0.6,TRUE,-0.51,0.57,5.2,0.2,7,0,180,0,406.41,23424.375,23830.785,911231.036156728,3.875
"9",1,0.6,TRUE,-0.51,0.57,5.2,0.2,8,0,180,0,406.41,23664.625,24071.035,921000,3.875
"10",1,0.6,TRUE,-0.51,0.57,5.2,0.2,9,0,180,0,393.3,23482.5,23875.8,921000,3.875
"11",1,0.6,TRUE,-0.51,0.57,5.2,0.2,10,0,180,0,3870.0809584584,26547.625,30417.7059584584,921000,3.875
"12",1,0.6,TRUE,-0.51,0.57,5.2,0.2,11,0,180,0,7072.8712982976,28248.75,35321.6212982976,921000,3.875
"13",1,0.6,TRUE,-0.51,0.57,5.2,0.2,12,0,180,0,20399.13071916,32193.5,52592.63071916,921000,3.906
"14",1,0.6,TRUE,-0.51,0.57,5.2,0.2,13,0,180,0,28017.03449373,33298.65,61315.68449373,910706.880204896,3.906
"15",1,0.6,TRUE,-0.51,0.57,5.2,0.2,14,0,180,0,22262.2179119928,31497.984,53760.2019119928,762659.511217436,3.906
"16",1,0.6,TRUE,-0.51,0.57,5.2,0.2,15,0,180,0,18450.6175701816,33419.736,51870.3535701816,649928.10739345,3.906
"17",1,0.6,TRUE,-0.51,0.57,5.2,0.2,16,0,180,0,9681.8335657368,28709.1,38390.9335657368,593844.400253087,3.906
"18",1,0.6,TRUE,-0.51,0.57,5.2,0.2,17,0,180,0,2343.5013848592,26275.662,28619.1633848592,610711.533121613,3.906
"19",1,0.6,TRUE,-0.51,0.57,5.2,0.2,18,0,180,0,393.3,23670.36,24063.66,717248.206351895,3.906
"20",1,0.6,TRUE,-0.51,0.57,5.2,0.2,19,0,180,0,388.74,23611.77,24000.51,840705.886351895,3.906
"21",1,0.6,TRUE,-0.51,0.57,5.2,0.2,20,0,180,0,388.74,23853.942,24242.682,906664.866351895,3.906
"22",1,0.6,TRUE,-0.51,0.57,5.2,0.2,21,0,180,0,393.3,23670.36,24063.66,921000,3.906
"23",1,0.6,TRUE,-0.51,0.57,5.2,0.2,22,0,180,0,4043.472217686,26760.006,30803.478217686,921000,3.906
"24",1,0.6,TRUE,-0.51,0.57,5.2,0.2,23,0,180,0,10456.728659316,28474.74,38931.468659316,921000,3.906
"25",1,0.6,TRUE,-0.51,0.57,5.2,0.2,24,0,180,0,26452.7946723456,32451.048,58903.8426723456,921000,3.937248
"26",1,0.6,TRUE,-0.51,0.57,5.2,0.2,25,0,180,0,34445.551714914,33565.0392,68010.590914914,795130.603253199,3.937248
"27",1,0.6,TRUE,-0.51,0.57,5.2,0.2,26,0,180,0,28067.8747013532,31749.967872,59817.8425733532,644235.421423371,3.937248
"28",1,0.6,TRUE,-0.51,0.57,5.2,0.2,27,0,180,0,23723.8052523576,33687.093888,57410.8991403576,511376.736276665,3.937248
"29",1,0.6,TRUE,-0.51,0.57,5.2,0.2,28,0.3,180,0,8741.4997055442,20257.14096,28998.6406655442,401946.93799595,3.937248
"30",1,0.6,TRUE,-0.51,0.57,5.2,0.2,29,0.3,180,0,2244.45134768232,18540.1071072,20784.5584548823,388849.656664861,3.937248
"31",1,0.6,TRUE,-0.51,0.57,5.2,0.2,30,0,180,0,564.3,23859.72288,24424.02288,513775.539755097,3.937248
"32",1,0.6,TRUE,-0.51,0.57,5.2,0.2,31,0,180,0,565.44,23800.66416,24366.10416,713201.493995097,3.937248
"33",1,0.6,TRUE,-0.51,0.57,5.2,0.2,32,0,180,0,565.44,24044.773536,24610.213536,852148.285675097,3.937248
"34",1,0.6,TRUE,-0.51,0.57,5.2,0.2,33,0,180,0,564.3,23859.72288,24424.02288,921000,3.937248
"35",1,0.6,TRUE,-0.51,0.57,5.2,0.2,34,0,180,0,5062.1485395768,26974.086048,32036.2345875768,921000,3.937248
"36",1,0.6,TRUE,-0.51,0.57,5.2,0.2,35,0,180,0,9477.211512444,28702.53792,38179.749432444,921000,3.937248
"37",1,0.6,TRUE,-0.51,0.57,5.2,0.2,36,0,180,0,23425.8205924752,32710.656384,56136.4769764752,901868.844803055,3.968745984
"38",1,0.6,TRUE,-0.51,0.57,5.2,0.2,37,0,180,0,30423.442067052,33833.5595136,64257.001580652,785491.890850105,3.968745984
"39",1,0.6,TRUE,-0.51,0.57,5.2,0.2,38,0,180,0,24823.0547220672,33146.966458368,57970.0211804352,634760.887688801,3.968745984
"40",1,0.6,TRUE,-0.51,0.57,5.2,0.2,39,0,180,0,20225.098204344,33956.590639104,54181.688843448,494732.845327931,3.968745984
"41",1,0.6,TRUE,-0.51,0.57,5.2,0.2,40,0.3,180,0,7424.75030512992,20419.19808768,27843.9483928099,404240.467641035,3.968745984
"42",1,0.6,TRUE,-0.51,0.57,5.2,0.2,41,0.2,180,0,2838.68033129664,21358.2033874944,24196.883718791,405801.570855415,3.968745984
"43",1,0.6,TRUE,-0.51,0.57,5.2,0.2,42,0,180,0,444.6,24050.60066304,24495.20066304,452737.803417833,3.968745984
"44",1,0.6,TRUE,-0.51,0.57,5.2,0.2,43,0,180,0,441.75,23991.06947328,24432.81947328,644279.402091753,3.968745984
"45",1,0.6,TRUE,-0.51,0.57,5.2,0.2,44,0,180,0,441.75,24237.131724288,24678.881724288,921000,3.968745984
"46",1,0.6,TRUE,-0.51,0.57,5.2,0.2,45,0,180,0,444.6,24050.60066304,24495.20066304,921000,3.968745984
"47",1,0.6,TRUE,-0.51,0.57,5.2,0.2,46,0,180,0,3634.0778522772,27189.878736384,30823.9565886612,921000,3.968745984
"48",1,0.6,TRUE,-0.51,0.57,5.2,0.2,47,0,180,0,9553.9326895704,28932.15822336,38486.0909129304,921000,3.968745984
"49",1,0.6,TRUE,-0.51,0.57,5.2,0.2,48,0,180,0,24489.0327247968,32972.341635072,57461.3743598688,921000,4.000495951872
"50",1,0.6,TRUE,-0.51,0.57,5.2,0.2,49,0,180,0,31816.892405904,34104.2279897088,65921.1203956128,921000,4.000495951872
"51",1,0.6,TRUE,-0.51,0.57,5.2,0.2,50,0,180,0,25585.2639221928,32259.9993558958,57845.2632780886,891563.51385639,4.000495951872
"52",1,0.6,TRUE,-0.51,0.57,5.2,0.2,51,0,180,0,21475.6220751744,34228.2433642168,55703.8654393912,770417.987300213,4.000495951872
"53",1,0.6,TRUE,-0.51,0.57,5.2,0.2,52,0,180,0,11289.1394697096,29403.6452462592,40692.7847159688,686800.25642143,4.000495951872
"54",1,0.6,TRUE,-0.51,0.57,5.2,0.2,53,0,180,0,3601.3944952992,26911.3362682429,30512.7307635421,666301.686989493,4.000495951872
"55",1,0.6,TRUE,-0.51,0.57,5.2,0.2,54,0,180,0,495.9,24243.0054683443,24738.9054683443,788326.225462409,4.000495951872
"56",1,0.6,TRUE,-0.51,0.57,5.2,0.2,55,0,180,0,494.76,24182.9980290662,24677.7580290662,921000,4.000495951872
"57",1,0.6,TRUE,-0.51,0.57,5.2,0.2,56,0,180,0,494.76,24431.0287780823,24925.7887780823,921000,4.000495951872
"58",1,0.6,TRUE,-0.51,0.57,5.2,0.2,57,0,180,0,495.9,24243.0054683443,24738.9054683443,921000,4.000495951872
"59",1,0.6,TRUE,-0.51,0.57,5.2,0.2,58,0,180,0,3588.4852793712,27407.3977662751,30995.8830456463,921000,4.000495951872
"60",1,0.6,TRUE,-0.51,0.57,5.2,0.2,59,0,180,0,6261.476884056,29163.6154891469,35425.0923732029,921000,4.000495951872
"61",1,0.6,TRUE,-0.51,0.57,5.2,0.2,60,0,180,0,22785.2912625984,33236.1203681526,56021.411630751,921000,4.03249991948698
"62",1,0.6,TRUE,-0.51,0.57,5.2,0.2,61,0,180,0,30126.706756368,34377.0618136265,64503.7685699945,921000,4.03249991948698
"63",1,0.6,TRUE,-0.51,0.57,5.2,0.2,62,0,180,0,24351.0510206628,32518.079350743,56869.1303714058,921000,4.03249991948698
"64",1,0.6,TRUE,-0.51,0.57,5.2,0.2,63,0,180,0,20334.8149443048,34502.0693111306,54836.8842554354,921000,4.03249991948698
"65",1,0.6,TRUE,-0.51,0.57,5.2,0.2,64,0,180,0,10688.7340251588,29638.8744082293,40327.6084333881,857441.169481863,4.03249991948698
"66",1,0.6,TRUE,-0.51,0.57,5.2,0.2,65,0,180,0,3100.887377358,27126.6269583889,30227.5143357469,841215.952615087,4.03249991948698
"67",1,0.6,TRUE,-0.51,0.57,5.2,0.2,66,0,180,0,461.7,24436.9495120911,24898.6495120911,921000,4.03249991948698
"68",1,0.6,TRUE,-0.51,0.57,5.2,0.2,67,0,180,0,459.42,24376.4620132988,24835.8820132988,921000,4.03249991948698
"69",1,0.6,TRUE,-0.51,0.57,5.2,0.2,68,0,180,0,459.42,24626.477008307,25085.897008307,921000,4.03249991948698
"70",1,0.6,TRUE,-0.51,0.57,5.2,0.2,69,0,180,0,461.7,24436.9495120911,24898.6495120911,921000,4.03249991948698
"71",1,0.6,TRUE,-0.51,0.57,5.2,0.2,70,0,180,0,4563.5366570256,27626.6569484053,32190.1936054309,921000,4.03249991948698
"72",1,0.6,TRUE,-0.51,0.57,5.2,0.2,71,0,180,0,10687.715409252,29396.9244130601,40084.6398223121,921000,4.03249991948698
"73",1,0.6,TRUE,-0.51,0.57,5.2,0.2,72,0,180,0,26611.4689007088,33502.0093310978,60113.4782318066,921000,4.06475991884287
"74",1,0.6,TRUE,-0.51,0.57,5.2,0.2,73,0,180,0,34562.537372976,34652.0783081355,69214.6156811115,921000,4.06475991884287
"75",1,0.6,TRUE,-0.51,0.57,5.2,0.2,74,0,180,0,28173.3137915376,32778.2239855489,60951.5377770865,900419.913170695,4.06475991884287
"76",1,0.6,TRUE,-0.51,0.57,5.2,0.2,75,0,180,0,23829.542964276,34778.0858656196,58607.6288298956,774677.837616522,4.06475991884287
"77",1,0.6,TRUE,-0.51,0.57,5.2,0.2,76,0,180,0,12539.156722206,29875.9854034951,42415.1421257011,627848.579956731,4.06475991884287
"78",1,0.6,TRUE,-0.51,0.57,5.2,0.2,77,0,180,0,3786.8537702196,27343.639974056,31130.4937442756,518534.295705328,4.06475991884287
"79",1,0.6,TRUE,-0.51,0.57,5.2,0.2,78,0,180,0,564.3,24632.4451081878,25196.7451081878,501209.308216777,4.06475991884287
"80",1,0.6,TRUE,-0.51,0.57,5.2,0.2,79,0,180,0,565.44,24571.4737094052,25136.9137094052,623918.818000402,4.06475991884287
"81",1,0.6,TRUE,-0.51,0.57,5.2,0.2,80,0,180,0,565.44,24823.4888243734,25388.9288243734,806309.990581591,4.06475991884287
"82",1,0.6,TRUE,-0.51,0.57,5.2,0.2,81,0,180,0,564.3,24632.4451081878,25196.7451081878,908480.132932845,4.06475991884287
"83",1,0.6,TRUE,-0.51,0.57,5.2,0.2,82,0,180,0,5210.7650551788,27847.6702039925,33058.4352591713,921000,4.06475991884287
"84",1,0.6,TRUE,-0.51,0.57,5.2,0.2,83,0,180,0,11049.1662441672,29632.0998083645,40681.2660525317,888184.772198126,4.06475991884287
"85",1,0.6,TRUE,-0.51,0.57,5.2,0.2,84,0,180,0,27388.8542356032,33770.0254057466,61158.8796413498,777830.240093063,4.09727799819362
"86",1,0.6,TRUE,-0.51,0.57,5.2,0.2,85,0,180,0,35640.941483346,34929.2949346006,70570.2364179466,646411.480810363,4.09727799819362
"87",1,0.6,TRUE,-0.51,0.57,5.2,0.2,86,0,180,0,29929.7661417612,34220.4658409131,64150.2319826743,491883.00797447,4.09727799819362
"88",1,0.6,TRUE,-0.51,0.57,5.2,0.2,87,0.3,180,0,17311.169738898,24539.4173867812,41850.5871256792,356146.544009122,4.09727799819362
"89",1,0.6,TRUE,-0.51,0.57,5.2,0.2,88,0.3,180,0,9124.30917027756,21080.4953007062,30204.8044709837,300671.369757763,4.09727799819362
"90",1,0.6,TRUE,-0.51,0.57,5.2,0.2,89,0.3,180,0,2687.77290471564,19293.6723656939,21981.4452704096,280345.760815796,4.09727799819362
"91",1,0.6,TRUE,-0.51,0.57,5.2,0.2,90,0.3,180,0,418.95,17380.6532683373,17799.6032683373,326005.870274977,4.09727799819362
"92",1,0.6,TRUE,-0.51,0.57,5.2,0.2,91,0,180,0,583.11,24768.0454990804,25351.1554990804,503540.663738302,4.09727799819362
"93",1,0.6,TRUE,-0.51,0.57,5.2,0.2,92,0,180,0,583.11,25022.0767349684,25605.1867349684,703170.352740141,4.09727799819362
"94",1,0.6,TRUE,-0.51,0.57,5.2,0.2,93,0,180,0,598.5,24829.5046690533,25428.0046690533,809571.979270204,4.09727799819362
"95",1,0.6,TRUE,-0.51,0.57,5.2,0.2,94,0,180,0,4901.8465907388,28070.4515656245,32972.2981563633,852280.969932097,4.09727799819362
"96",1,0.6,TRUE,-0.51,0.57,5.2,0.2,95,0,180,0,10484.7002667192,29869.1566068315,40353.8568735507,817910.373619371,4.09727799819362
"97",1,0.6,TRUE,-0.51,0.57,5.2,0.2,96,0,180,0,25471.6552102704,34040.1856089926,59511.840819263,713983.659872269,4.13005622217916
"98",1,0.6,TRUE,-0.51,0.57,5.2,0.2,97,0,180,0,33086.60839539,35208.7292940774,68295.3376894674,581521.978233744,4.13005622217916
