"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 share"
"04/07/2019 01:44:15:292 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"18","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"5","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"8","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"7","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","1","0","180","0","31668.616996399993","33034.375","64702.99199639999","829442","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","2","0","180","0","24630.950197839997","31248","55878.95019783999","691556.0160072001","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","3","0","180","0","20257.796798559997","33154.5","53412.29679856","559838.1156115201","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","4","0","180","0","10600.60339928","28481.25","39081.85339928","456122.5220144001","3.875"
"16","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","5","0.2","180","0","2563.89401649552","20853.7","23417.59401649552","427472.8152158401","3.875"
"14","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","6","0","180","0","407.09999999999997","23482.5","23889.6","619259.6271828491","3.875"
"20","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","7","0","180","0","420.66999999999996","23424.375","23845.045","897336.4271828491","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","8","0","180","0","420.66999999999996","23664.625","24085.295","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","9","0","180","0","407.09999999999997","23482.5","23889.6","921000","3.875"
"3","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","10","0","180","0","4238.4194515348","26547.625","30786.0444515348","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","11","0","180","0","7704.933181347199","28248.75","35953.6831813472","921000","3.875"
"10","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"11","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","12","0","180","0","22280.760839019997","32193.5","54474.26083902","921000","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","13","0","180","0","30682.390242684996","33298.65","63981.040242685","890963.5702390452","3.906"
"9","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","14","0","180","0","24076.287563991595","31497.984","55574.2715639916","737585.4897536752","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","15","0","180","0","19791.2704985452","33419.736000000004","53211.006498545205","621225.9466256921","3.906"
"12","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"6","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","16","0","180","0","10368.472493359599","28709.100000000002","39077.5724933596","562460.9336286017","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","17","0","180","0","2627.1349490023995","26275.662","28902.7969490024","577954.7886418826","3.906"
"19","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","18","0","180","0","407.09999999999997","23670.36","24077.46","683924.1947438777","3.906"
"13","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"4","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"5","0.7","true","-0.3","0.57","5.2","0.2","1","0","180","0","31116.816996399997","33034.375","64151.1919964","829442","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","19","0","180","0","402.38","23611.77","24014.15","807354.2747438778","3.906"
"17","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"15","0.7","true","-0.3","0.59","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","20","0","180","0","402.38","23853.942","24256.322","873285.9747438778","3.906"
"5","0.7","true","-0.3","0.57","5.2","0.2","2","0","180","0","24109.030197839995","31248","55357.030197839995","692659.6160072","3.875"
"2","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","21","0","180","0","407.09999999999997","23670.36","24077.46","915906.3307438777","3.906"
"1","0.7","true","-0.3","0.57","5.2","0.2","0","0","0","0","0","0","0","0","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","22","0","180","0","4450.0092539669995","26760.006","31210.015253967","921000","3.906"
"5","0.7","true","-0.3","0.57","5.2","0.2","3","0","180","0","19779.77679856","33154.5","52934.27679856","561985.5556115201","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","23","0","180","0","11432.266769201997","28474.74","39907.006769201995","921000","3.906"
"5","0.7","true","-0.3","0.57","5.2","0.2","4","0","180","0","10345.603399279998","28481.25","38826.85339928","459226.0020144001","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","24","0","180","0","28736.543784403195","32451.048000000003","61187.591784403194","886321.3666975398","3.9372480000000003"
"18","0.7","true","-0.3","0.59","5.2","0.2","25","0","180","0","37382.527000733","33565.0392","70947.566200733","754365.1831287334","3.9372480000000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","1","0","180","0","31116.816996399997","33034.375","64151.1919964","829442","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","26","0","180","0","30093.553818245397","31749.967872","61843.5216902454","597596.0507272675","3.9372480000000003"
"18","0.7","true","-0.3","0.59","5.2","0.2","27","0","180","0","25250.472794417197","33687.093888","58937.5666824172","460686.0073467768","3.9372480000000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","2","0","180","0","24109.030197839995","31248","55357.030197839995","692659.6160072","3.875"
"5","0.7","true","-0.3","0.57","5.2","0.2","5","0.2","180","0","2540.0860164955197","20853.7","23393.78601649552","431086.2952158401","3.875"
"8","0.7","true","-0.3","0.57","5.2","0.2","3","0","180","0","19779.77679856","33154.5","52934.27679856","561985.5556115201","3.875"
"8","0.7","true","-0.3","0.57","5.2","0.2","4","0","180","0","10345.603399279998","28481.25","38826.85339928","459226.0020144001","3.875"
"5","0.7","true","-0.3","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","622920.723182849","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","28","0.3","180","0","9291.216323134897","20257.14096","29548.357283134897","348202.8739819424","3.9372480000000003"
"18","0.7","true","-0.3","0.59","5.2","0.2","29","0.3","180","0","2512.7390722960395","18540.107107199998","21052.84617949604","334006.15941567265","3.9372480000000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","901025.1231828489","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","30","0","180","0","584.1","23859.72288","24443.82288","458395.4670566806","3.9372480000000003"
"18","0.7","true","-0.3","0.59","5.2","0.2","31","0","180","0","585.28","23800.66416","24385.94416","657781.8212966806","3.9372480000000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","32","0","180","0","585.28","24044.773536","24630.053536","796688.9329766807","3.9372480000000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","5","0.2","180","0","2540.0860164955197","20853.7","23393.78601649552","431086.2952158401","3.875"
"5","0.7","true","-0.3","0.57","5.2","0.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","33","0","180","0","584.1","23859.72288","24443.82288","895756.8259046808","3.9372480000000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","10","0","180","0","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","34","0","180","0","5531.514962839599","26974.086048","32505.6010108396","921000","3.9372480000000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","11","0","180","0","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","35","0","180","0","10435.746764517999","28702.537920000002","39138.284684518","909819.9781230016","3.9372480000000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","622920.723182849","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","36","0","180","0","25609.624024554396","32710.656384","58320.2804085544","843474.4087539656","3.9687459840000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","901025.1231828489","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","37","0","180","0","33224.815744894","33833.559513600005","67058.375258494","722729.8479368569","3.9687459840000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","12","0","180","0","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","38","0","180","0","26735.205509078398","33146.966458368006","59882.171967446404","566396.0974198689","3.9687459840000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"18","0.7","true","-0.3","0.59","5.2","0.2","39","0.2","180","0","17303.1983240544","27165.272511283205","44468.470835337605","422543.7534849761","3.9687459840000003"
"18","0.7","true","-0.3","0.59","5.2","0.2","40","0.3","180","0","7928.258689318239","20419.19808768","28347.45677699824","351477.81181430095","3.9687459840000003"
"5","0.7","true","-0.3","0.57","5.2","0.2","13","0","180","0","30147.950242684994","33298.65","63446.600242684995","895985.7862390445","3.906"
