"","run","Irrigation.Efficiency","Scenario.1","water.price.elasticity","share.other.crops.irrigation","water.price","Kc","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"1",1,0.7,TRUE,-0.3,0.57,5.2,0.2,0,0,0,0,0,0,0,0,3.875
"2",1,0.7,TRUE,-0.3,0.57,5.2,0.2,1,0,180,0,31116.8169964,33034.375,64151.1919964,829442,3.875
"3",1,0.7,TRUE,-0.3,0.57,5.2,0.2,2,0,180,0,24109.03019784,31248,55357.03019784,692659.6160072,3.875
"4",1,0.7,TRUE,-0.3,0.57,5.2,0.2,3,0,180,0,19779.77679856,33154.5,52934.27679856,561985.55561152,3.875
"5",1,0.7,TRUE,-0.3,0.57,5.2,0.2,4,0,180,0,10345.60339928,28481.25,38826.85339928,459226.0020144,3.875
"6",1,0.7,TRUE,-0.3,0.57,5.2,0.2,5,0.2,180,0,2540.08601649552,20853.7,23393.7860164955,431086.29521584,3.875
"7",1,0.7,TRUE,-0.3,0.57,5.2,0.2,6,0,180,0,393.3,23482.5,23875.8,622920.723182849,3.875
"8",1,0.7,TRUE,-0.3,0.57,5.2,0.2,7,0,180,0,406.41,23424.375,23830.785,901025.123182849,3.875
"9",1,0.7,TRUE,-0.3,0.57,5.2,0.2,8,0,180,0,406.41,23664.625,24071.035,921000,3.875
"10",1,0.7,TRUE,-0.3,0.57,5.2,0.2,9,0,180,0,393.3,23482.5,23875.8,921000,3.875
"11",1,0.7,TRUE,-0.3,0.57,5.2,0.2,10,0,180,0,4164.6394515348,26547.625,30712.2644515348,921000,3.875
"12",1,0.7,TRUE,-0.3,0.57,5.2,0.2,11,0,180,0,7559.1331813472,28248.75,35807.8831813472,921000,3.875
"13",1,0.7,TRUE,-0.3,0.57,5.2,0.2,12,0,180,0,21875.90083902,32193.5,54069.40083902,921000,3.906
"14",1,0.7,TRUE,-0.3,0.57,5.2,0.2,13,0,180,0,30147.950242685,33298.65,63446.600242685,895985.786239045,3.906
"15",1,0.7,TRUE,-0.3,0.57,5.2,0.2,14,0,180,0,23570.6075639916,31497.984,55068.5915639916,743676.585753675,3.906
"16",1,0.7,TRUE,-0.3,0.57,5.2,0.2,15,0,180,0,19328.7504985452,33419.736,52748.4864985452,628328.402625691,3.906
"17",1,0.7,TRUE,-0.3,0.57,5.2,0.2,16,0,180,0,10121.2724933596,28709.1,38830.3724933596,570488.429628601,3.906
"18",1,0.7,TRUE,-0.3,0.57,5.2,0.2,17,0,180,0,2598.6149490024,26275.662,28874.2769490024,586476.684641882,3.906
"19",1,0.7,TRUE,-0.3,0.57,5.2,0.2,18,0,180,0,393.3,23670.36,24063.66,692503.130743877,3.906
"20",1,0.7,TRUE,-0.3,0.57,5.2,0.2,19,0,180,0,388.74,23611.77,24000.51,815960.810743877,3.906
