"","run","water.price.elasticity","Irrigation.Efficiency","Scenario.1","Kc","share.other.crops.irrigation","water.price","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"1",1,-0.1,0.7,FALSE,0.2,0.57,5.2,0,0,0,0,0,0,0,0,3.875
"2",1,-0.1,0.7,FALSE,0.2,0.57,5.2,1,0,180,5.2,31116.8169964,33034.375,64151.1919964,829442,3.875
"3",1,-0.1,0.7,FALSE,0.2,0.57,5.2,2,0,180,5.2,24109.03019784,31248,55357.03019784,692659.6160072,3.875
"4",1,-0.1,0.7,FALSE,0.2,0.57,5.2,3,0,180,5.2,19779.77679856,33154.5,52934.27679856,561985.55561152,3.875
"5",1,-0.1,0.7,FALSE,0.2,0.57,5.2,4,0,180,5.2,10345.60339928,28481.25,38826.85339928,459226.0020144,3.875
"6",1,-0.1,0.7,FALSE,0.2,0.57,5.2,5,0,180,5.2,3175.1075206194,26067.125,29242.2325206194,431086.29521584,3.875
"7",1,-0.1,0.7,FALSE,0.2,0.57,5.2,6,0,180,5.2,393.3,23482.5,23875.8,611223.830174601,3.875
"8",1,-0.1,0.7,FALSE,0.2,0.57,5.2,7,0,180,5.2,406.41,23424.375,23830.785,889328.230174601,3.875
"9",1,-0.1,0.7,FALSE,0.2,0.57,5.2,8,0,180,5.2,406.41,23664.625,24071.035,921000,3.875
"10",1,-0.1,0.7,FALSE,0.2,0.57,5.2,9,0,180,5.2,393.3,23482.5,23875.8,921000,3.875
"11",1,-0.1,0.7,FALSE,0.2,0.57,5.2,10,0,180,5.2,4164.6394515348,26547.625,30712.2644515348,921000,3.875
"12",1,-0.1,0.7,FALSE,0.2,0.57,5.2,11,0,180,5.2,7559.1331813472,28248.75,35807.8831813472,921000,3.875
"13",1,-0.1,0.7,FALSE,0.2,0.57,5.2,12,0,180,5.2,21875.90083902,32193.5,54069.40083902,921000,3.906
"14",1,-0.1,0.7,FALSE,0.2,0.57,5.2,13,0,180,5.2,30147.950242685,33298.65,63446.600242685,884288.893230797,3.906
"15",1,-0.1,0.7,FALSE,0.2,0.57,5.2,14,0,180,5.2,23570.6075639916,31497.984,55068.5915639916,731979.692745427,3.906
"16",1,-0.1,0.7,FALSE,0.2,0.57,5.2,15,0,180,5.2,19328.7504985452,33419.736,52748.4864985452,616631.509617443,3.906
"17",1,-0.1,0.7,FALSE,0.2,0.57,5.2,16,0,180,5.2,10121.2724933596,28709.1,38830.3724933596,558791.536620353,3.906
"18",1,-0.1,0.7,FALSE,0.2,0.57,5.2,17,0,180,5.2,2598.6149490024,26275.662,28874.2769490024,574779.791633634,3.906
"19",1,-0.1,0.7,FALSE,0.2,0.57,5.2,18,0,180,5.2,393.3,23670.36,24063.66,680806.237735629,3.906
"20",1,-0.1,0.7,FALSE,0.2,0.57,5.2,19,0,180,5.2,388.74,23611.77,24000.51,804263.917735629,3.906
"21",1,-0.1,0.7,FALSE,0.2,0.57,5.2,20,0,180,5.2,388.74,23853.942,24242.682,870222.897735629,3.906
"22",1,-0.1,0.7,FALSE,0.2,0.57,5.2,21,0,180,5.2,393.3,23670.36,24063.66,912870.533735629,3.906
"23",1,-0.1,0.7,FALSE,0.2,0.57,5.2,22,0,180,5.2,4378.709253967,26760.006,31138.715253967,921000,3.906
"24",1,-0.1,0.7,FALSE,0.2,0.57,5.2,23,0,180,5.2,11227.666769202,28474.74,39702.406769202,921000,3.906
"25",1,-0.1,0.7,FALSE,0.2,0.57,5.2,24,0,180,5.2,28169.8637844032,32451.048,60620.9117844032,883864.969689291,3.937248
"26",1,-0.1,0.7,FALSE,0.2,0.57,5.2,25,0,180,5.2,36634.807000733,33565.0392,70199.846200733,753042.146120484,3.937248
"27",1,-0.1,0.7,FALSE,0.2,0.57,5.2,26,0,180,5.2,29386.2738182454,31749.967872,61136.2416902454,597768.453719018,3.937248
"28",1,-0.1,0.7,FALSE,0.2,0.57,5.2,27,0.222569554765925,180,16.7736168478281,19127.2711283436,26189.3723999899,45316.6435283335,462272.970338528,3.937248
"29",1,-0.1,0.7,FALSE,0.2,0.57,5.2,28,0.345322788159463,180,23.1567849842921,8463.38297992682,18945.5550907908,27408.9380707176,377031.683281861,3.937248
"30",1,-0.1,0.7,FALSE,0.2,0.57,5.2,29,0.371565016197426,180,24.5213808422661,2230.52141043627,16644.6455851589,18875.1669955952,367113.807140425,3.937248
"31",1,-0.1,0.7,FALSE,0.2,0.57,5.2,30,0.294294488504625,180,20.5033134022405,398.22962013684,16837.9379391683,17236.1675593051,495858.473149235,3.937248
"32",1,-0.1,0.7,FALSE,0.2,0.57,5.2,31,0.108732751960565,180,10.8541031019494,503.958152731418,21212.752447394,21716.7106001254,709660.138030625,3.937248
"33",1,-0.1,0.7,FALSE,0.2,0.57,5.2,32,0,180,5.2,565.44,24044.773536,24610.213536,853905.716830374,3.937248
"34",1,-0.1,0.7,FALSE,0.2,0.57,5.2,33,0,180,5.2,564.3,23859.72288,24424.02288,921000,3.937248
"35",1,-0.1,0.7,FALSE,0.2,0.57,5.2,34,0,180,5.2,5431.6949628396,26974.086048,32405.7810108396,921000,3.937248
"36",1,-0.1,0.7,FALSE,0.2,0.57,5.2,35,0,180,5.2,10270.146764518,28702.53792,38972.684684518,921000,3.937248
"37",1,-0.1,0.7,FALSE,0.2,0.57,5.2,36,0,180,5.2,25150.8240245544,32710.656384,57861.4804085544,901301.312607659,3.968745984
"38",1,-0.1,0.7,FALSE,0.2,0.57,5.2,37,0,180,5.2,32619.695744894,33833.5595136,66453.255258494,781474.35179055,3.968745984
"39",1,-0.1,0.7,FALSE,0.2,0.57,5.2,38,0,180,5.2,26141.8655090784,33146.966458368,59288.8319674464,626350.841273562,3.968745984
"40",1,-0.1,0.7,FALSE,0.2,0.57,5.2,39,0.186559442365509,180,14.9010910030065,17167.2382756833,27621.6680248389,44788.9063005222,483685.177338669,3.968745984
"41",1,-0.1,0.7,FALSE,0.2,0.57,5.2,40,0.284641426372063,180,20.0013541713473,7902.19692473362,20867.2120266129,28769.4089513466,411978.364737625,3.968745984
"42",1,-0.1,0.7,FALSE,0.2,0.57,5.2,41,0.295260814957711,180,20.553562377801,2809.51475014325,18814.9535615878,21624.4683117311,411688.546834932,3.968745984
"43",1,-0.1,0.7,FALSE,0.2,0.57,5.2,42,0.339963340927332,180,22.8780937282212,293.452298623708,15874.2781103238,16167.7304089475,463769.61021147,3.968745984
"44",1,-0.1,0.7,FALSE,0.2,0.57,5.2,43,0.15607290215331,180,13.3157909119721,372.804795473775,20246.7136348235,20619.5184302973,671966.149393574,3.968745984
"45",1,-0.1,0.7,FALSE,0.2,0.57,5.2,44,0,180,5.2,441.75,24237.131724288,24678.881724288,921000,3.968745984
"46",1,-0.1,0.7,FALSE,0.2,0.57,5.2,45,0,180,5.2,444.6,24050.60066304,24495.20066304,921000,3.968745984
"47",1,-0.1,0.7,FALSE,0.2,0.57,5.2,46,0,180,5.2,3856.9074943234,27189.878736384,31046.7862307074,921000,3.968745984
"48",1,-0.1,0.7,FALSE,0.2,0.57,5.2,47,0,180,5.2,10294.1048044988,28932.15822336,39226.2630278588,921000,3.968745984
"49",1,-0.1,0.7,FALSE,0.2,0.57,5.2,48,0,180,5.2,26208.6481789296,32972.341635072,59180.9898140016,921000,4.000495951872
"50",1,-0.1,0.7,FALSE,0.2,0.57,5.2,49,0,180,5.2,34000.952806888,34104.2279897088,68105.1807965968,921000,4.000495951872
