"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/01/2019 11:55:57:447 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"7","1.6","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"6","1.5","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"1","1","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"8","1.7","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"5","1.4","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"4","1.3","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"3","1.2","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"2","1.1","true","-0.3","0.57","5.2","0","0","0","0","0","0","0","0","3.875"
"7","1.6","true","-0.3","0.57","5.2","1","0","180","0","21265.0325864192","33034.375","54299.4075864192","829442","3.875"
"1","1","true","-0.3","0.57","5.2","1","0","180","0","19188.007866511998","33034.375","52222.382866511995","829442","3.875"
"6","1.5","true","-0.3","0.57","5.2","1","0","180","0","20918.861799767998","33034.375","53953.236799768","829442","3.875"
"7","1.6","true","-0.3","0.57","5.2","2","0","180","0","20413.452586419196","31248","51661.4525864192","712363.1848271615","3.875"
"6","1.5","true","-0.3","0.57","5.2","2","0","180","0","20067.281799768","31248","51315.281799767996","713055.5264004641","3.875"
"1","1","true","-0.3","0.57","5.2","2","0","180","0","18336.427866512","31248","49584.427866512","716517.2342669759","3.875"
"4","1.3","true","-0.3","0.57","5.2","1","0","180","0","20226.520226465596","33034.375","53260.895226465596","829442","3.875"
"7","1.6","true","-0.3","0.57","5.2","3","0","180","0","19162.3025864192","33154.5","52316.8025864192","589080.2796543231","3.875"
"5","1.4","true","-0.3","0.57","5.2","1","0","180","0","20572.691013116797","33034.375","53607.0660131168","829442","3.875"
